id,title,genres,runtime,release_date,vote_average,vote_count,revenue,budget
382,The Nutcracker: The Untold Story,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}]",110.0,2010-11-24,5.4,50,16178959,90000000
383,Seabiscuit,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",141.0,2003-07-22,6.7,216,148336445,87000000
384,Twister,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",113.0,1996-05-10,6.1,950,494471524,92000000
385,Cast Away,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",143.0,2000-12-22,7.5,3218,429632142,90000000
386,Happy Feet,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}]",108.0,2006-11-16,5.9,1410,384335608,100000000
387,The Bourne Supremacy,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",108.0,2004-07-23,7.2,2825,288500217,75000000
388,Air Force One,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",124.0,1997-07-25,6.2,840,315156409,85000000
389,Ocean's Eleven,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",116.0,2001-12-07,7.2,3783,450717150,85000000
390,The Three Musketeers,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",110.0,2011-08-31,5.6,924,132274484,75000000
391,Hotel Transylvania,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",91.0,2012-09-20,6.8,2566,358375603,85000000
392,Enchanted,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",107.0,2007-11-20,6.6,1449,340487652,85000000
393,Safe House,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",115.0,2012-02-09,6.3,1345,208076205,85000000
394,102 Dalmatians,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",100.0,2000-10-07,5.1,313,183611771,85000000
395,Tower Heist,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",104.0,2011-11-02,5.8,932,152930623,75000000
396,The Holiday,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",136.0,2006-12-08,6.7,1225,194168700,85000000
397,Enemy of the State,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",132.0,1998-11-20,6.7,1240,250649836,90000000
398,It's Complicated,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",121.0,2009-12-23,6.2,360,219103655,85000000
399,Ocean's Thirteen,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",122.0,2007-06-07,6.5,1999,311312624,85000000
400,Open Season,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",83.0,2006-09-29,6.1,656,197309027,85000000
401,Divergent,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",139.0,2014-03-14,6.9,4663,288747895,85000000
402,Enemy at the Gates,"[{""id"": 10752, ""name"": ""War""}]",131.0,2001-03-13,7.2,999,96976270,68000000
403,The Rundown,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",104.0,2003-09-26,6.4,514,80916492,85000000
404,Last Action Hero,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",130.0,1993-06-18,6.1,712,137298489,85000000
405,Memoirs of a Geisha,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",145.0,2005-12-06,7.3,652,162242962,85000000
406,The Fast and the Furious: Tokyo Drift,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",104.0,2006-06-03,6.1,1705,158468292,85000000
407,Arthur Christmas,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",97.0,2011-02-22,6.7,333,0,0
408,Meet Joe Black,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",178.0,1998-11-12,6.9,1147,142940100,90000000
409,Collateral Damage,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",108.0,2002-02-06,5.5,427,78382433,85000000
410,All That Jazz,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",123.0,1979-12-20,7.3,85,37823676,0
411,Mirror Mirror,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",106.0,2012-03-15,5.5,1114,183018522,85000000
412,Scott Pilgrim vs. the World,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",112.0,2010-07-27,7.2,2126,47664559,60000000
413,The Core,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",136.0,2003-03-28,5.4,516,74208267,60000000
414,Nutty Professor II: The Klumps,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}]",106.0,2000-07-27,4.7,332,123307945,84000000
415,Scooby-Doo,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",88.0,2002-06-14,5.4,820,275650703,84000000
416,Dredd,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",95.0,2012-09-07,6.6,1940,41037742,50000000
417,Click,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",107.0,2006-06-22,6.0,2104,237681299,82500000
418,Creepshow,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",120.0,1982-11-12,6.7,226,21028755,8000000
419,Cats & Dogs 2 : The Revenge of Kitty Galore,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",82.0,2010-07-30,4.9,119,112483764,85000000
420,Jumper,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",88.0,2008-02-10,5.9,1799,222231186,85000000
421,Hellboy II: The Golden Army,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",120.0,2008-07-11,6.5,1527,160388063,85000000
422,Zodiac,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",157.0,2007-03-02,7.3,2023,84785914,65000000
423,The 6th Day,"[{""id"": 878, ""name"": ""Science Fiction""}]",123.0,2000-11-17,5.7,595,96085477,82000000
424,Bruce Almighty,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",101.0,2003-05-23,6.4,3012,484572835,80000000
425,The Expendables,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",103.0,2010-08-03,6.0,2926,274470394,80000000
426,Mission: Impossible,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",110.0,1996-05-22,6.7,2631,457696359,80000000
427,The Hunger Games,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",142.0,2012-03-12,6.9,9455,691210692,75000000
428,The Hangover Part II,"[{""id"": 35, ""name"": ""Comedy""}]",102.0,2011-05-25,6.2,3739,254455986,80000000
429,Batman Returns,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",126.0,1992-06-19,6.6,1673,280000000,80000000
430,Over the Hedge,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",83.0,2006-04-22,6.3,1074,343397247,80000000
431,Lilo & Stitch,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",85.0,2002-06-21,7.1,1314,145771527,80000000
432,Charlotte's Web,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",97.0,2006-12-15,5.8,288,144000000,85000000
433,Deep Impact,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",120.0,1998-05-08,5.9,855,140464664,75000000
434,RED 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",116.0,2013-07-18,6.4,1526,0,84000000
435,The Longest Yard,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",113.0,2005-05-19,6.2,785,190320568,82000000
436,Alvin and the Chipmunks: Chipwrecked,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 16, ""name"": ""Animation""}]",87.0,2011-12-14,5.4,484,342695435,75000000
437,Grown Ups 2,"[{""id"": 35, ""name"": ""Comedy""}]",100.0,2013-07-11,5.8,1155,246984278,80000000
438,Get Smart,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",110.0,2008-06-19,6.0,1051,230685453,80000000
439,Something's Gotta Give,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",128.0,2003-12-12,6.3,410,266728738,80000000
440,Shutter Island,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",138.0,2010-02-18,7.8,6336,294804195,80000000
441,Four Christmases,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",88.0,2008-11-26,5.3,331,163733697,80000000
442,Robots,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",91.0,2005-03-10,6.0,1333,260696994,75000000
443,Face/Off,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",138.0,1997-06-27,6.8,1583,245676146,80000000
444,Bedtime Stories,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",99.0,2008-12-24,5.9,901,212874442,80000000
445,Road to Perdition,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",117.0,2002-07-12,7.3,1077,181001478,80000000
446,Just Go with It,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",117.0,2011-02-10,6.3,1543,214918407,80000000
447,Con Air,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",115.0,1997-06-01,6.5,1270,224012234,75000000
448,Eagle Eye,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",118.0,2008-09-25,6.3,1018,178066569,80000000
449,Cold Mountain,"[{""id"": 18, ""name"": ""Drama""}]",154.0,2003-12-24,6.7,533,173013509,79000000
450,The Book of Eli,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",118.0,2010-01-14,6.6,2164,157107755,80000000
451,Flubber,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",93.0,1997-11-26,5.3,695,177977226,80000000
452,The Haunting,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 9648, ""name"": ""Mystery""}]",113.0,1999-07-23,5.2,369,91188905,80000000
453,Space Jam,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",88.0,1996-11-15,6.5,1288,250200000,80000000
454,The Pink Panther,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10751, ""name"": ""Family""}]",93.0,2006-01-18,5.6,550,0,0
455,The Day the Earth Stood Still,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",104.0,2008-12-10,5.2,1043,233093859,80000000
456,Conspiracy Theory,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",135.0,1997-08-07,6.5,431,136982834,75000000
457,Fury,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",135.0,2014-10-15,7.4,3946,211817906,68000000
458,Six Days Seven Nights,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",98.0,1998-06-12,5.6,332,164000000,70000000
459,Yogi Bear,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}]",80.0,2010-12-11,5.2,220,201584141,80000000
460,Spirit: Stallion of the Cimarron,"[{""id"": 37, ""name"": ""Western""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",83.0,2002-05-24,7.4,831,122563539,80000000
461,Zookeeper,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10751, ""name"": ""Family""}]",102.0,2011-07-06,5.3,498,169852759,80000000
462,Lost in Space,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",130.0,1998-04-03,5.0,388,136159423,80000000
463,The Manchurian Candidate,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",129.0,2004-07-30,6.2,393,96105964,80000000
464,Déjà Vu,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",117.0,1998-04-22,8.0,1,0,0
465,Hotel Transylvania 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",89.0,2015-09-21,6.7,1497,473226958,80000000
466,Fantasia 2000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",74.0,1999-12-17,7.0,292,90874570,80000000
467,The Time Machine,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",96.0,2002-03-04,5.8,631,123729176,80000000
468,Mighty Joe Young,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",114.0,1998-12-25,5.9,208,0,90000000
469,Swordfish,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",99.0,2001-06-07,6.1,932,147080413,102000000
470,The Legend of Zorro,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",129.0,2005-10-24,5.9,893,142400065,75000000
471,What Dreams May Come,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",113.0,1998-10-02,6.8,577,71485043,85000000
472,Little Nicky,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",90.0,2000-11-10,5.2,438,0,85000000
473,The Brothers Grimm,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",118.0,2005-08-26,5.6,818,105316267,88000000
474,Mars Attacks!,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",106.0,1996-12-12,6.1,1509,101371017,70000000
475,Evolution,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]",81.0,2015-09-14,6.4,47,0,0
476,The Edge,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",117.0,1997-09-06,6.7,349,43312294,0
477,Surrogates,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",89.0,2009-09-24,5.9,1195,122444772,80000000
478,Thirteen Days,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",145.0,2000-12-24,6.9,189,34566746,80000000
479,Daylight,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",115.0,1996-12-06,5.8,378,159212469,80000000
480,Walking With Dinosaurs,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",87.0,2013-12-18,5.2,133,126546518,80000000
481,Battlefield Earth,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10752, ""name"": ""War""}]",118.0,2000-05-10,3.0,255,21400000,44000000
482,Looney Tunes: Back in Action,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",90.0,2003-11-14,5.6,297,68514844,80000000
483,Nine,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",112.0,2009-12-03,5.1,165,53825515,80000000
484,Timeline,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",116.0,2003-11-26,5.4,318,19480739,80000000
485,The Postman,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",177.0,1997-12-25,6.1,299,17626234,80000000
486,Babe: Pig in the City,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",92.0,1998-11-25,5.2,305,69131860,90000000
487,The Last Witch Hunter,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",106.0,2015-10-21,5.7,1316,146936910,90000000
488,Red Planet,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",106.0,2000-11-10,5.4,267,33463969,80000000
489,Arthur and the Invisibles,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",94.0,2006-12-13,6.0,639,107944236,86000000
490,Oceans,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 10751, ""name"": ""Family""}]",84.0,2009-10-17,7.3,111,19406406,0
491,A Sound of Thunder,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",110.0,2005-05-15,4.8,111,5989640,80000000
492,Pompeii,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",105.0,2014-02-18,5.2,1267,117831631,130000000
493,Top Cat Begins,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}]",89.0,2015-10-30,5.3,9,0,8000000
494,A Beautiful Mind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",135.0,2001-12-11,7.7,3009,313542341,60000000
495,The Lion King,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",89.0,1994-06-23,8.0,5376,788241776,45000000
496,Journey 2: The Mysterious Island,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",94.0,2012-01-19,5.8,1030,355692760,79000000
497,Cloudy with a Chance of Meatballs 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",95.0,2013-09-26,6.4,915,248384621,78000000
498,Red Dragon,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",124.0,2002-09-29,6.7,1115,209196298,78000000
499,Hidalgo,"[{""id"": 37, ""name"": ""Western""}, {""id"": 12, ""name"": ""Adventure""}]",136.0,2004-03-05,6.5,318,108103450,100000000
500,Jack and Jill,"[{""id"": 35, ""name"": ""Comedy""}]",91.0,2011-11-11,4.1,604,149673788,79000000
501,2 Fast 2 Furious,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",107.0,2003-06-05,6.2,2028,236350661,76000000
502,The Little Prince,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 14, ""name"": ""Fantasy""}]",92.0,2015-07-29,7.6,756,97571250,64000000
503,The Invasion,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",99.0,2007-08-17,5.7,359,15071514,80000000
504,The Adventures of Rocky & Bullwinkle,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",88.0,2000-06-30,3.9,87,35134820,76000000
505,The Secret Life of Pets,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",87.0,2016-06-18,5.9,3462,875958308,75000000
506,The League of Extraordinary Gentlemen,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",110.0,2003-07-11,5.7,1155,179265204,78000000
507,Despicable Me 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",98.0,2013-06-25,7.0,4637,970761885,76000000
508,Independence Day,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",145.0,1996-06-25,6.7,3260,816969268,75000000
509,The Lost World: Jurassic Park,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",129.0,1997-05-23,6.2,2487,229074524,73000000
510,Madagascar,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}]",86.0,2005-05-25,6.6,3237,532680671,75000000
511,Children of Men,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",109.0,2006-09-22,7.4,2071,69959751,76000000
512,X-Men,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",104.0,2000-07-13,6.8,4097,296339527,75000000
513,Wanted,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",110.0,2008-06-19,6.4,2528,258270008,75000000
514,The Rock,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",136.0,1996-06-06,6.9,1456,335062621,75000000
515,Ice Age: The Meltdown,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",91.0,2006-03-23,6.5,2951,660940780,80000000
